type,is_mine,start_location,start_lat,start_lng,end_location,drive_time,program,created_at
reference,0,성남동 (모란역 먹자골목),37.432422,127.131559,,,,
reference,0,반송동 (동탄 남광장/북광장),37.205775,127.073275,,,,
reference,0,영천동 (동탄2신도시 11자 상가),37.206500,127.114500,,,,
reference,0,진안동 (병점 중심상가),37.207800,127.039200,,,,
reference,0,향남읍 (향남지구 로데오),37.130500,126.920500,,,,
reference,0,마도면 (마도공단 외국인상가),37.213500,126.762500,,,,
reference,0,비전동 (평택 소사벌 상업지구),37.000166,127.113989,,,,
reference,0,평택동 (평택역 먹자골목),36.992500,127.087200,,,,
reference,0,포승읍 (평택항/포승공단),36.960500,126.840500,,,,
reference,0,공도읍 (안성 공도터미널 먹자),36.998500,127.168500,,,,
reference,0,장항동 (라페스타/웨스턴돔),37.660709,126.768958,,,,
reference,0,백석동 (백석역 8블럭 먹자골목),37.643200,126.786500,,,,
reference,0,화정동 (화정역 문화의거리/로데오),37.634500,126.832500,,,,
reference,0,사우동 (김포시청 앞 먹자골목),37.620500,126.718500,,,,
reference,0,장기동 (장기역 먹자골목/수변상가),37.644500,126.668500,,,,
reference,0,구래동 (구래 중심상업지구),37.645000,126.628000,,,,
reference,0,야당동 (야당역 먹자골목),37.712500,126.761500,,,,
reference,0,의정부동 (신시가지/로데오),37.738000,127.045000,,,,
reference,0,옥정동 (양주 옥정신도시 중심상가),37.820500,127.094500,,,,
reference,0,수택동 (구리 돌다리/먹자골목),37.599500,127.138500,,,,
reference,0,별내동 (별내 로데오/카페거리),37.641500,127.125500,,,,
reference,0,진접읍 (진접지구 로데오),37.718500,127.175500,,,,
reference,0,화도읍 (마석역/마석우리 먹자골목),37.652500,127.306500,,,,
reference,0,망월동 (하남 미사역 문화의거리),37.568500,127.189500,,,,
reference,0,경안동 (광주시내 상권),37.412500,127.256500,,,,
reference,0,용두동 (서오릉 장어/갈비촌),37.625891,126.891931,,,,
reference,0,광탄면 (서원밸리CC/벽초지 인근),37.764395,126.903643,,,,
reference,0,이동면 (일동레이크 이동갈비촌),38.034007,127.366106,,,,
reference,0,고매동 (기흥IC/코리아CC 인근),37.221106,127.103789,,,,
reference,0,양지면 (양지IC/아시아나CC 인근),37.231694,127.286713,,,,
reference,0,마장면 (덕평IC 한우/쌀밥촌),37.225583,127.370524,,,,
reference,0,창전동 (이천 하이닉스/시내 상권),37.279500,127.442500,,,,
reference,0,가남읍 (솔모로/자유CC 인근),37.206336,127.541363,,,,
reference,0,도척면 (곤지암 소머리국밥거리),37.350605,127.335824,,,,
reference,0,퇴촌면 (앵자봉 계곡 식당가),37.465200,127.316800,,,,
reference,0,양성면 (안성베네스트 고기거리),37.067500,127.235100,,,,
reference,0,두정동 (먹자골목 중심부),36.833610,127.135482,,,,
reference,0,불당동 (신불당 상업지구),36.814500,127.104200,,,,
reference,0,쌍용동 (나사렛대/열린치과 앞),36.797500,127.126500,,,,
reference,0,신방동 (신방먹자골목),36.786500,127.128500,,,,
reference,0,성환읍 (성환역/터미널 상권),36.916500,127.127500,,,,
reference,0,용화동 (신용화동 먹자골목),36.772158,126.995530,,,,
reference,0,탕정면 (지중해마을/트라팰리스),36.799000,127.065000,,,,
reference,0,배방읍 (공수리 상권),36.775000,127.054000,,,,
reference,0,둔포면 (아산테크노밸리 상가),36.925500,127.037500,,,,
reference,0,예천동 (호수공원 상권),36.775538,126.449848,,,,
reference,0,동문동 (서산 동문동 먹자골목),36.782000,126.455000,,,,
reference,0,대산읍 (대산공단 명지사거리),36.953500,126.381500,,,,
reference,0,읍내동 (당진 우두동 먹자골목),36.886707,126.635066,,,,
reference,0,송악읍 (기지시리 로터리),36.903500,126.685500,,,,
reference,0,홍북읍 (내포신도시 중심상가),36.602500,126.678000,,,,
